exercise_id,type,word_base,word,word_level,word_freq,question,correct_answer,accepted_answers,option_1,option_2,option_3,option_4,sentence_example,sentence_example_translation_en,sentence_example_translation_ru,extra,explanation
weisen_090,multiple_choice_synonym,weisen,unterweisen,C2,45322,Выберите немецкий синоним или близкое по смыслу слово для «unterweisen».,schulen,schulen,Anordnung,transferieren,schulen,präsentieren,Sie unterweist die neuen Mitarbeiter.,She instructs the new employees.,Она обучает новых сотрудников.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_091,sentence_translation_de_en,weisen,unterweisen,C2,45322,Переведите предложение на английский: «Sie unterweist die neuen Mitarbeiter.»,She instructs the new employees.,She instructs the new employees.,,,,,Sie unterweist die neuen Mitarbeiter.,She instructs the new employees.,Она обучает новых сотрудников.,,Открытый перевод предложения.
weisen_092,sentence_translation_de_ru,weisen,unterweisen,C2,45322,Переведите предложение на русский: «Sie unterweist die neuen Mitarbeiter.»,Она обучает новых сотрудников.,Она обучает новых сотрудников.,,,,,Sie unterweist die neuen Mitarbeiter.,She instructs the new employees.,Она обучает новых сотрудников.,,Открытый перевод предложения.
weisen_093,sentence_order,weisen,unterweisen,C2,45322,Соберите немецкое предложение из слов.,Sie unterweist die neuen Mitarbeiter.,Sie unterweist die neuen Mitarbeiter.,,,,,Sie unterweist die neuen Mitarbeiter.,She instructs the new employees.,Она обучает новых сотрудников.,Sie | die | Mitarbeiter. | neuen | unterweist,Поле extra содержит слова в перемешанном порядке.
weisen_094,multiple_choice_sentence_paraphrase,weisen,unterweisen,C2,45322,Выберите перефразированное предложение для: «Sie unterweist die neuen Mitarbeiter.»,Sie schult die neuen Mitarbeiter.,Sie schult die neuen Mitarbeiter.,Sie schult die neuen Mitarbeiter.,Der Chef beauftragt das Team.,Sie macht auf den Fehler aufmerksam.,Der Lehrer schickte ihn aus dem Raum.,Sie unterweist die neuen Mitarbeiter.,She instructs the new employees.,Она обучает новых сотрудников.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_095,word_family_base,weisen,unterweisen,C2,45322,От какого базового слова образовано «unterweisen»?,weisen,weisen,weisen,erweisen,anweisen,Wegweiser,Sie unterweist die neuen Mitarbeiter.,She instructs the new employees.,Она обучает новых сотрудников.,,Упражнение на словообразование.
weisen_096,multiple_choice_de_en,weisen,verweisen,B2,1334,Как переводится немецкое слово «verweisen» на английский?,to refer; expel,to refer; expel,to refer; expel,to exhibit,to reject,to verify,Der Lehrer verwies ihn aus dem Raum.,The teacher sent him out of the room.,Учитель удалил его из комнаты.,,Выберите английский перевод слова.
weisen_097,multiple_choice_ru_de,weisen,verweisen,B2,1334,Как будет по-немецки: «ссылаться; удалять»?,verweisen,verweisen,Wegweiser,verweisen,zurechtweisen,aufweisen,Der Lehrer verwies ihn aus dem Raum.,The teacher sent him out of the room.,Учитель удалил его из комнаты.,,Выберите немецкое слово по русскому переводу.
weisen_098,multiple_choice_synonym,weisen,verweisen,B2,1334,Выберите немецкий синоним или близкое по смыслу слово для «verweisen».,hinweisen,hinweisen,belegen,zurückweisen,hinweisen,präsentieren,Der Lehrer verwies ihn aus dem Raum.,The teacher sent him out of the room.,Учитель удалил его из комнаты.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_099,sentence_translation_de_en,weisen,verweisen,B2,1334,Переведите предложение на английский: «Der Lehrer verwies ihn aus dem Raum.»,The teacher sent him out of the room.,The teacher sent him out of the room.,,,,,Der Lehrer verwies ihn aus dem Raum.,The teacher sent him out of the room.,Учитель удалил его из комнаты.,,Открытый перевод предложения.
weisen_100,sentence_translation_de_ru,weisen,verweisen,B2,1334,Переведите предложение на русский: «Der Lehrer verwies ihn aus dem Raum.»,Учитель удалил его из комнаты.,Учитель удалил его из комнаты.,,,,,Der Lehrer verwies ihn aus dem Raum.,The teacher sent him out of the room.,Учитель удалил его из комнаты.,,Открытый перевод предложения.
weisen_101,sentence_order,weisen,verweisen,B2,1334,Соберите немецкое предложение из слов.,Der Lehrer verwies ihn aus dem Raum.,Der Lehrer verwies ihn aus dem Raum.,,,,,Der Lehrer verwies ihn aus dem Raum.,The teacher sent him out of the room.,Учитель удалил его из комнаты.,aus | Lehrer | dem | Raum. | Der | ihn | verwies,Поле extra содержит слова в перемешанном порядке.
weisen_102,multiple_choice_sentence_paraphrase,weisen,verweisen,B2,1334,Выберите перефразированное предложение для: «Der Lehrer verwies ihn aus dem Raum.»,Der Lehrer schickte ihn aus dem Raum.,Der Lehrer schickte ihn aus dem Raum.,Der Lehrer schickte ihn aus dem Raum.,Er kann alles belegen.,Das Haus hat Mängel.,Die Lehrerin tadelt ihn.,Der Lehrer verwies ihn aus dem Raum.,The teacher sent him out of the room.,Учитель удалил его из комнаты.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_103,word_family_base,weisen,verweisen,B2,1334,От какого базового слова образовано «verweisen»?,weisen,weisen,weisen,hinweisen,aufweisen,beweisen,Der Lehrer verwies ihn aus dem Raum.,The teacher sent him out of the room.,Учитель удалил его из комнаты.,,Упражнение на словообразование.
weisen_104,multiple_choice_de_en,weisen,vorweisen,B2,6872,Как переводится немецкое слово «vorweisen» на английский?,to present,to present,to admit; instruct,to verify,to prove,to present,Bitte weisen Sie das Ticket vor.,Please present the ticket.,"Пожалуйста, предъявите билет.",,Выберите английский перевод слова.
weisen_105,multiple_choice_ru_de,weisen,vorweisen,B2,6872,Как будет по-немецки: «предъявлять»?,vorweisen,vorweisen,vorweisen,Wegweiser,einweisen,überweisen,Bitte weisen Sie das Ticket vor.,Please present the ticket.,"Пожалуйста, предъявите билет.",,Выберите немецкое слово по русскому переводу.
weisen_106,multiple_choice_synonym,weisen,vorweisen,B2,6872,Выберите немецкий синоним или близкое по смыслу слово для «vorweisen».,präsentieren,präsentieren|zeigen,Schild,präsentieren,tadeln,aufnehmen,Bitte weisen Sie das Ticket vor.,Please present the ticket.,"Пожалуйста, предъявите билет.",,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_107,sentence_translation_de_en,weisen,vorweisen,B2,6872,Переведите предложение на английский: «Bitte weisen Sie das Ticket vor.»,Please present the ticket.,Please present the ticket.,,,,,Bitte weisen Sie das Ticket vor.,Please present the ticket.,"Пожалуйста, предъявите билет.",,Открытый перевод предложения.
weisen_108,sentence_translation_de_ru,weisen,vorweisen,B2,6872,Переведите предложение на русский: «Bitte weisen Sie das Ticket vor.»,"Пожалуйста, предъявите билет.","Пожалуйста, предъявите билет.",,,,,Bitte weisen Sie das Ticket vor.,Please present the ticket.,"Пожалуйста, предъявите билет.",,Открытый перевод предложения.
weisen_109,sentence_order,weisen,vorweisen,B2,6872,Соберите немецкое предложение из слов.,Bitte weisen Sie das Ticket vor.,Bitte weisen Sie das Ticket vor.,,,,,Bitte weisen Sie das Ticket vor.,Please present the ticket.,"Пожалуйста, предъявите билет.",weisen | das | Bitte | vor. | Ticket | Sie,Поле extra содержит слова в перемешанном порядке.
weisen_110,multiple_choice_sentence_paraphrase,weisen,vorweisen,B2,6872,Выберите перефразированное предложение для: «Bitte weisen Sie das Ticket vor.»,Bitte zeigen Sie das Ticket.,Bitte zeigen Sie das Ticket.,Der Arzt nimmt ihn auf.,Er zeigte sich als ehrlich.,Bitte zeigen Sie das Ticket.,Er kann alles belegen.,Bitte weisen Sie das Ticket vor.,Please present the ticket.,"Пожалуйста, предъявите билет.",,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_111,word_family_base,weisen,vorweisen,B2,6872,От какого базового слова образовано «vorweisen»?,weisen,weisen,zurückweisen,weisen,einweisen,abweisen,Bitte weisen Sie das Ticket vor.,Please present the ticket.,"Пожалуйста, предъявите билет.",,Упражнение на словообразование.
weisen_112,multiple_choice_de_en,weisen,Wegweiser,C1,11954,Как переводится немецкое слово «Wegweiser» на английский?,signpost,signpost,to admit; instruct,to assign,signpost,to refer; expel,Der Wegweiser steht am Eingang.,The signpost stands at the entrance.,Указатель стоит у входа.,,Выберите английский перевод слова.
weisen_113,multiple_choice_ru_de,weisen,Wegweiser,C1,11954,Как будет по-немецки: «указатель»?,Wegweiser,Wegweiser,Wegweiser,erweisen,vorweisen,aufweisen,Der Wegweiser steht am Eingang.,The signpost stands at the entrance.,Указатель стоит у входа.,,Выберите немецкое слово по русскому переводу.
weisen_114,multiple_choice_synonym,weisen,Wegweiser,C1,11954,Выберите немецкий синоним или близкое по смыслу слово для «Wegweiser».,Schild,Schild,aufmerksam machen,zuteilen,zurückweisen,Schild,Der Wegweiser steht am Eingang.,The signpost stands at the entrance.,Указатель стоит у входа.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_115,sentence_translation_de_en,weisen,Wegweiser,C1,11954,Переведите предложение на английский: «Der Wegweiser steht am Eingang.»,The signpost stands at the entrance.,The signpost stands at the entrance.,,,,,Der Wegweiser steht am Eingang.,The signpost stands at the entrance.,Указатель стоит у входа.,,Открытый перевод предложения.
weisen_116,sentence_translation_de_ru,weisen,Wegweiser,C1,11954,Переведите предложение на русский: «Der Wegweiser steht am Eingang.»,Указатель стоит у входа.,Указатель стоит у входа.,,,,,Der Wegweiser steht am Eingang.,The signpost stands at the entrance.,Указатель стоит у входа.,,Открытый перевод предложения.
weisen_117,sentence_order,weisen,Wegweiser,C1,11954,Соберите немецкое предложение из слов.,Der Wegweiser steht am Eingang.,Der Wegweiser steht am Eingang.,,,,,Der Wegweiser steht am Eingang.,The signpost stands at the entrance.,Указатель стоит у входа.,Der | Eingang. | Wegweiser | steht | am,Поле extra содержит слова в перемешанном порядке.
weisen_118,multiple_choice_sentence_paraphrase,weisen,Wegweiser,C1,11954,Выберите перефразированное предложение для: «Der Wegweiser steht am Eingang.»,Das Schild steht am Eingang.,Das Schild steht am Eingang.,Das Schild steht am Eingang.,Ich folge deiner Anordnung.,Er lehnte den Vorschlag ab.,Sie weist ihre Theorie nach.,Der Wegweiser steht am Eingang.,The signpost stands at the entrance.,Указатель стоит у входа.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_119,word_family_base,weisen,Wegweiser,C1,11954,От какого базового слова образовано «Wegweiser»?,weisen,weisen,weisen,erweisen,zurückweisen,einweisen,Der Wegweiser steht am Eingang.,The signpost stands at the entrance.,Указатель стоит у входа.,,Упражнение на словообразование.
weisen_120,multiple_choice_de_en,weisen,Weisung,C1,11803,Как переводится немецкое слово «Weisung» на английский?,instruction,instruction,instruction,to exhibit,to instruct; transfer,to verify,Ich folge deiner Weisung.,I follow your instruction.,Я следую твоему указанию.,,Выберите английский перевод слова.
weisen_121,multiple_choice_ru_de,weisen,Weisung,C1,11803,Как будет по-немецки: «указание»?,Weisung,Weisung,anweisen,ausweisen,Weisung,zurückweisen,Ich folge deiner Weisung.,I follow your instruction.,Я следую твоему указанию.,,Выберите немецкое слово по русскому переводу.
weisen_122,multiple_choice_synonym,weisen,Weisung,C1,11803,Выберите немецкий синоним или близкое по смыслу слово для «Weisung».,Anordnung,Anordnung,Anordnung,aufnehmen,identifizieren,zurückweisen,Ich folge deiner Weisung.,I follow your instruction.,Я следую твоему указанию.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_123,sentence_translation_de_en,weisen,Weisung,C1,11803,Переведите предложение на английский: «Ich folge deiner Weisung.»,I follow your instruction.,I follow your instruction.,,,,,Ich folge deiner Weisung.,I follow your instruction.,Я следую твоему указанию.,,Открытый перевод предложения.
weisen_124,sentence_translation_de_ru,weisen,Weisung,C1,11803,Переведите предложение на русский: «Ich folge deiner Weisung.»,Я следую твоему указанию.,Я следую твоему указанию.,,,,,Ich folge deiner Weisung.,I follow your instruction.,Я следую твоему указанию.,,Открытый перевод предложения.
weisen_125,sentence_order,weisen,Weisung,C1,11803,Соберите немецкое предложение из слов.,Ich folge deiner Weisung.,Ich folge deiner Weisung.,,,,,Ich folge deiner Weisung.,I follow your instruction.,Я следую твоему указанию.,deiner | Ich | folge | Weisung.,Поле extra содержит слова в перемешанном порядке.
weisen_126,multiple_choice_sentence_paraphrase,weisen,Weisung,C1,11803,Выберите перефразированное предложение для: «Ich folge deiner Weisung.»,Ich folge deiner Anordnung.,Ich folge deiner Anordnung.,Der Lehrer schickte ihn aus dem Raum.,Der Arzt nimmt ihn auf.,Bitte zeigen Sie das Ticket.,Ich folge deiner Anordnung.,Ich folge deiner Weisung.,I follow your instruction.,Я следую твоему указанию.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_127,word_family_base,weisen,Weisung,C1,11803,От какого базового слова образовано «Weisung»?,weisen,weisen,weisen,unterweisen,zurückweisen,Wegweiser,Ich folge deiner Weisung.,I follow your instruction.,Я следую твоему указанию.,,Упражнение на словообразование.
weisen_128,multiple_choice_de_en,weisen,zuweisen,B2,9487,Как переводится немецкое слово «zuweisen» на английский?,to assign,to assign,to assign,to exhibit,to prove; show,instruction,Man weist ihr ein Büro zu.,She is assigned an office.,Ей выделяют офис.,,Выберите английский перевод слова.
weisen_129,multiple_choice_ru_de,weisen,zuweisen,B2,9487,"Как будет по-немецки: «назначать, распределять»?",zuweisen,zuweisen,weisen,zuweisen,verweisen,überweisen,Man weist ihr ein Büro zu.,She is assigned an office.,Ей выделяют офис.,,Выберите немецкое слово по русскому переводу.
weisen_130,multiple_choice_synonym,weisen,zuweisen,B2,9487,Выберите немецкий синоним или близкое по смыслу слово для «zuweisen».,zuteilen,zuteilen,identifizieren,transferieren,Anordnung,zuteilen,Man weist ihr ein Büro zu.,She is assigned an office.,Ей выделяют офис.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_131,sentence_translation_de_en,weisen,zuweisen,B2,9487,Переведите предложение на английский: «Man weist ihr ein Büro zu.»,She is assigned an office.,She is assigned an office.,,,,,Man weist ihr ein Büro zu.,She is assigned an office.,Ей выделяют офис.,,Открытый перевод предложения.
weisen_132,sentence_translation_de_ru,weisen,zuweisen,B2,9487,Переведите предложение на русский: «Man weist ihr ein Büro zu.»,Ей выделяют офис.,Ей выделяют офис.,,,,,Man weist ihr ein Büro zu.,She is assigned an office.,Ей выделяют офис.,,Открытый перевод предложения.
weisen_133,sentence_order,weisen,zuweisen,B2,9487,Соберите немецкое предложение из слов.,Man weist ihr ein Büro zu.,Man weist ihr ein Büro zu.,,,,,Man weist ihr ein Büro zu.,She is assigned an office.,Ей выделяют офис.,ihr | zu. | Büro | weist | ein | Man,Поле extra содержит слова в перемешанном порядке.
weisen_134,multiple_choice_sentence_paraphrase,weisen,zuweisen,B2,9487,Выберите перефразированное предложение для: «Man weist ihr ein Büro zu.»,Man teilt ihr ein Büro zu.,Man teilt ihr ein Büro zu.,Der Lehrer schickte ihn aus dem Raum.,Das Gericht lehnte die Klage ab.,Man teilt ihr ein Büro zu.,Sie macht auf den Fehler aufmerksam.,Man weist ihr ein Büro zu.,She is assigned an office.,Ей выделяют офис.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_135,word_family_base,weisen,zuweisen,B2,9487,От какого базового слова образовано «zuweisen»?,weisen,weisen,weisen,verweisen,nachweisen,überweisen,Man weist ihr ein Büro zu.,She is assigned an office.,Ей выделяют офис.,,Упражнение на словообразование.
weisen_136,multiple_choice_de_en,weisen,zurechtweisen,C2,53427,Как переводится немецкое слово «zurechtweisen» на английский?,to reprimand,to reprimand,instruction,"to point, show",to instruct; transfer,to reprimand,Die Lehrerin weist ihn zurecht.,The teacher reprimands him.,Учительница отчитывает его.,,Выберите английский перевод слова.
weisen_137,multiple_choice_ru_de,weisen,zurechtweisen,C2,53427,Как будет по-немецки: «отчитывать»?,zurechtweisen,zurechtweisen,weisen,abweisen,zurechtweisen,anweisen,Die Lehrerin weist ihn zurecht.,The teacher reprimands him.,Учительница отчитывает его.,,Выберите немецкое слово по русскому переводу.
weisen_138,multiple_choice_synonym,weisen,zurechtweisen,C2,53427,Выберите немецкий синоним или близкое по смыслу слово для «zurechtweisen».,tadeln,tadeln,identifizieren,tadeln,aufmerksam machen,beauftragen,Die Lehrerin weist ihn zurecht.,The teacher reprimands him.,Учительница отчитывает его.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_139,sentence_translation_de_en,weisen,zurechtweisen,C2,53427,Переведите предложение на английский: «Die Lehrerin weist ihn zurecht.»,The teacher reprimands him.,The teacher reprimands him.,,,,,Die Lehrerin weist ihn zurecht.,The teacher reprimands him.,Учительница отчитывает его.,,Открытый перевод предложения.
weisen_140,sentence_translation_de_ru,weisen,zurechtweisen,C2,53427,Переведите предложение на русский: «Die Lehrerin weist ihn zurecht.»,Учительница отчитывает его.,Учительница отчитывает его.,,,,,Die Lehrerin weist ihn zurecht.,The teacher reprimands him.,Учительница отчитывает его.,,Открытый перевод предложения.
weisen_141,sentence_order,weisen,zurechtweisen,C2,53427,Соберите немецкое предложение из слов.,Die Lehrerin weist ihn zurecht.,Die Lehrerin weist ihn zurecht.,,,,,Die Lehrerin weist ihn zurecht.,The teacher reprimands him.,Учительница отчитывает его.,Die | weist | ihn | Lehrerin | zurecht.,Поле extra содержит слова в перемешанном порядке.
weisen_142,multiple_choice_sentence_paraphrase,weisen,zurechtweisen,C2,53427,Выберите перефразированное предложение для: «Die Lehrerin weist ihn zurecht.»,Die Lehrerin tadelt ihn.,Die Lehrerin tadelt ihn.,Sie weist ihre Theorie nach.,Die Lehrerin tadelt ihn.,Das Haus hat Mängel.,Sie schult die neuen Mitarbeiter.,Die Lehrerin weist ihn zurecht.,The teacher reprimands him.,Учительница отчитывает его.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_143,word_family_base,weisen,zurechtweisen,C2,53427,От какого базового слова образовано «zurechtweisen»?,weisen,weisen,Wegweiser,weisen,hinweisen,verweisen,Die Lehrerin weist ihn zurecht.,The teacher reprimands him.,Учительница отчитывает его.,,Упражнение на словообразование.
weisen_144,multiple_choice_de_en,weisen,zurückweisen,B2,3706,Как переводится немецкое слово «zurückweisen» на английский?,to reject,to reject,to exhibit,to reject,to instruct; transfer,to point out,Er wies den Vorschlag zurück.,He rejected the proposal.,Он отверг предложение.,,Выберите английский перевод слова.
weisen_145,multiple_choice_ru_de,weisen,zurückweisen,B2,3706,Как будет по-немецки: «отвергать»?,zurückweisen,zurückweisen,vorweisen,abweisen,zurückweisen,unterweisen,Er wies den Vorschlag zurück.,He rejected the proposal.,Он отверг предложение.,,Выберите немецкое слово по русскому переводу.
weisen_146,multiple_choice_synonym,weisen,zurückweisen,B2,3706,Выберите немецкий синоним или близкое по смыслу слово для «zurückweisen».,abweisen,abweisen,Schild,zeigen,abweisen,zuteilen,Er wies den Vorschlag zurück.,He rejected the proposal.,Он отверг предложение.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_147,sentence_translation_de_en,weisen,zurückweisen,B2,3706,Переведите предложение на английский: «Er wies den Vorschlag zurück.»,He rejected the proposal.,He rejected the proposal.,,,,,Er wies den Vorschlag zurück.,He rejected the proposal.,Он отверг предложение.,,Открытый перевод предложения.
weisen_148,sentence_translation_de_ru,weisen,zurückweisen,B2,3706,Переведите предложение на русский: «Er wies den Vorschlag zurück.»,Он отверг предложение.,Он отверг предложение.,,,,,Er wies den Vorschlag zurück.,He rejected the proposal.,Он отверг предложение.,,Открытый перевод предложения.
weisen_149,sentence_order,weisen,zurückweisen,B2,3706,Соберите немецкое предложение из слов.,Er wies den Vorschlag zurück.,Er wies den Vorschlag zurück.,,,,,Er wies den Vorschlag zurück.,He rejected the proposal.,Он отверг предложение.,wies | Er | zurück. | Vorschlag | den,Поле extra содержит слова в перемешанном порядке.
weisen_150,multiple_choice_sentence_paraphrase,weisen,zurückweisen,B2,3706,Выберите перефразированное предложение для: «Er wies den Vorschlag zurück.»,Er lehnte den Vorschlag ab.,Er lehnte den Vorschlag ab.,Er lehnte den Vorschlag ab.,Sie weist ihre Theorie nach.,Bitte zeigen Sie das Ticket.,Sie macht auf den Fehler aufmerksam.,Er wies den Vorschlag zurück.,He rejected the proposal.,Он отверг предложение.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_151,word_family_base,weisen,zurückweisen,B2,3706,От какого базового слова образовано «zurückweisen»?,weisen,weisen,einweisen,nachweisen,erweisen,weisen,Er wies den Vorschlag zurück.,He rejected the proposal.,Он отверг предложение.,,Упражнение на словообразование.
